City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
420,Consolacion Del Sur,CU,75.56,clear sky,22.5047,-83.5136,Cuarto de alquiler
421,Shihezi,CN,77.31,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
422,Makokou,GA,68.68,light rain,0.5738,12.8642,Hôtel
426,Baykit,RU,70.45,clear sky,61.67,96.37,
427,Sabang,ID,83.89,overcast clouds,5.8933,95.3214,Hotel Citra
429,Sakaiminato,JP,76.93,few clouds,35.55,133.2333,Italian pasley
430,Puerto Ayacucho,VE,74.82,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
433,Algiers,DZ,67.86,overcast clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
434,Nalut,LY,69.58,clear sky,30.3333,10.85,
438,Pangai,TO,80.71,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
443,Ohafia,NG,71.8,overcast clouds,5.6167,7.8333,Hill Flower Hotel
446,Babol,IR,71.67,clear sky,36.5513,52.679,Reza Hotel
449,Zhangjiakou,CN,84.74,scattered clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
452,Anjiang,CN,72.12,overcast clouds,27.3194,110.1031,Dahua Hotel
456,Huautla,MX,73.67,overcast clouds,21.0333,-98.2833,Hotel Huautla
457,Port-Gentil,GA,77.31,broken clouds,-0.7193,8.7815,Fengshui Residence
459,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
461,Bambanglipuro,ID,88.54,scattered clouds,-7.95,110.2833,Puri Brata
462,Tucurui,BR,71.8,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
463,Bilma,NE,82.56,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
465,Mach,PK,87.57,clear sky,29.8637,67.3298,Naqeebullah hotel mach نقیب اللہ ہوٹل مچھ
469,Abha,SA,70.05,clear sky,18.2164,42.5053,Abha Hotel
472,Kenai,US,66.25,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
474,Beidao,CN,79.23,few clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
475,Isla Aguada,MX,79.11,overcast clouds,18.7833,-91.4667,Freedom Shores
476,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
480,Thinadhoo,MV,84.15,overcast clouds,0.5333,72.9333,
484,Mayo,US,71.55,mist,38.8876,-76.5119,Resorts Resource Group International
489,Mayumba,GA,74.44,overcast clouds,-3.432,10.6554,LIKWALE LODGE
490,Kodinar,IN,87.3,overcast clouds,20.7903,70.7031,residency of N.B vadhel
491,Paita,PE,65.57,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
492,Sibolga,ID,86.88,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
493,Micheweni,TZ,79.88,overcast clouds,-4.9667,39.8333,
494,Portoferraio,IT,65.08,scattered clouds,42.8115,10.3146,Hotel Villa Ombrosa
