City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
158,San Patricio,28.017,-97.5169,few clouds,78.69,84,20,4.68,US
159,Pitimbu,-7.4706,-34.8086,scattered clouds,75.79,88,45,12.37,BR
160,Iqaluit,63.7506,-68.5145,light snow,19.13,79,100,20.71,CA
161,Turukhansk,65.8167,87.9833,broken clouds,65.41,41,53,14.32,RU
162,Fazilka,30.4,74.0333,scattered clouds,99.32,28,30,20.04,IN
163,Lovozero,68.005,35.0117,clear sky,32.56,62,3,5.88,RU
164,Saint-Philippe,-21.3585,55.7679,few clouds,72.99,72,24,9.35,RE
165,Touba,8.2833,-7.6833,overcast clouds,68.29,98,93,3.24,CI
166,Luocheng,29.3848,104.0286,broken clouds,79.54,52,55,3.94,CN
167,Upernavik,72.7868,-56.1549,overcast clouds,32.52,75,99,19.86,GL
168,Plettenberg Bay,-34.0527,23.3716,broken clouds,57.94,62,76,3.85,ZA
169,Kirakira,-10.4544,161.9205,few clouds,83.68,75,22,3.96,SB
170,Loiza,18.4313,-65.8802,scattered clouds,81.07,83,40,12.66,PR
171,College,64.8569,-147.8028,few clouds,62.58,31,20,17.27,US
172,Antalaha,-14.9003,50.2788,light rain,76.12,77,56,8.99,MG
173,Ondangwa,-17.9167,15.95,clear sky,37.4,44,0,3.44,NA
174,Namanga,-2.5433,36.7905,overcast clouds,66.34,70,87,5.37,KE
175,Encarnacion,-27.3333,-55.9,clear sky,57.72,88,0,2.3,PY
176,Labuhan,-6.8844,112.2051,scattered clouds,87.46,62,43,13.13,ID
177,Lishan,31.8576,113.2951,clear sky,84.63,41,0,7.25,CN
178,Birjand,32.8663,59.2211,clear sky,70.27,14,0,4.61,IR
179,Cervo,43.6702,-7.4101,broken clouds,55.96,82,81,8.01,ES
180,Luderitz,-26.6481,15.1594,few clouds,60.82,55,14,6.64,NA
181,Kungsbacka,57.4872,12.0761,overcast clouds,50.32,92,100,11.01,SE
182,Avrille,47.5,-0.5833,light rain,61.77,92,98,9.01,FR
183,Sherlovaya Gora,50.5667,116.25,light rain,62.6,31,99,11.72,RU
184,Malanville,11.8685,3.3899,light rain,80.38,67,100,1.41,BJ
185,Bengkulu,-3.8004,102.2655,broken clouds,84.97,67,66,6.6,ID
186,Iralaya,15.0,-83.2333,overcast clouds,80.46,78,100,16.37,HN
187,Sosnovo-Ozerskoye,52.5249,111.5418,broken clouds,56.23,39,59,3.89,RU
188,Kununurra,-15.7667,128.7333,broken clouds,89.58,25,83,8.05,AU
189,Mega,4.05,38.3,overcast clouds,60.21,90,86,12.57,ET
190,Newberg,45.3001,-122.9732,clear sky,65.64,58,0,5.75,US
191,Onega,63.9061,38.1404,broken clouds,38.34,55,55,14.2,RU
192,Vestmannaeyjar,63.4427,-20.2734,clear sky,48.15,86,3,9.64,IS
193,Faanui,-16.4833,-151.75,few clouds,81.18,69,15,15.5,PF
194,Hermanus,-34.4187,19.2345,broken clouds,58.28,84,77,8.08,ZA
195,Marystown,47.1666,-55.1483,few clouds,49.86,100,24,10.33,CA
196,Nago,26.5881,127.9761,light rain,75.63,79,100,13.53,JP
197,Longyearbyen,78.2186,15.6401,broken clouds,35.44,87,75,3.44,SJ
198,Bambous Virieux,-20.3428,57.7575,scattered clouds,75.45,78,40,10.36,MU
199,Villaviciosa,43.4813,-5.4357,overcast clouds,58.15,90,100,3.13,ES
200,Wagar,16.1525,36.2032,clear sky,91.51,19,1,7.58,SD
201,San Cristobal,7.7669,-72.225,few clouds,73.58,88,12,3.04,VE
202,Vagamo,61.8751,9.0967,overcast clouds,47.7,94,100,7.4,NO
203,Piacabucu,-10.4056,-36.4344,few clouds,75.25,81,14,9.8,BR
204,Trat,12.5,102.5,overcast clouds,86.2,94,100,8.48,TH
205,Port Lincoln,-34.7333,135.8667,few clouds,66.52,63,16,13.29,AU
206,Boa Vista,2.8197,-60.6733,broken clouds,75.18,88,75,1.14,BR
207,Bulgan,48.8125,103.5347,overcast clouds,78.46,14,99,13.02,MN
208,Yumen,40.2833,97.2,few clouds,85.15,13,21,33.46,CN
209,Sylacauga,33.1732,-86.2516,broken clouds,72.18,88,75,3.44,US
210,Moorhead,46.8739,-96.7676,clear sky,47.98,64,0,5.75,US
211,Bitung,1.4451,125.1824,overcast clouds,88.65,79,100,3.62,ID
212,Lahaina,20.8783,-156.6825,clear sky,80.6,85,9,11.12,US
213,Colares,38.7992,-9.4469,clear sky,60.76,76,9,25.01,PT
214,Phan Thiet,10.9333,108.1,overcast clouds,83.91,72,100,13.42,VN
215,Escanaba,45.7453,-87.0646,mist,41.31,98,0,1.01,US
216,Shemonaikha,50.6328,81.9056,overcast clouds,63.5,33,100,11.3,KZ
217,Takestan,36.0696,49.6959,few clouds,69.93,18,21,6.73,IR
218,Cidreira,-30.1811,-50.2056,broken clouds,58.24,81,68,6.89,BR
219,Nortelandia,-14.4547,-56.8028,scattered clouds,64.18,62,36,2.82,BR
220,Victor Harbor,-35.5667,138.6167,scattered clouds,71.67,56,36,8.5,AU
221,Kamaishi,39.2667,141.8833,moderate rain,60.3,78,99,2.15,JP
222,Unity,52.4501,-109.1682,scattered clouds,46.26,45,42,8.97,CA
223,Vao,-22.6667,167.4833,few clouds,70.72,86,16,27.72,NC
224,Kavaratti,10.5669,72.642,heavy intensity rain,82.78,81,100,17.07,IN
225,Batemans Bay,-35.7167,150.1833,light rain,58.1,71,94,4.0,AU
226,Vila Velha,-20.3297,-40.2925,broken clouds,66.15,94,75,3.44,BR
227,Bezhetsk,57.7851,36.6965,overcast clouds,40.57,59,89,11.03,RU
228,Vostok,46.4856,135.8833,broken clouds,65.21,41,67,5.46,RU
229,Hastings,50.8552,0.5729,light rain,56.95,90,100,9.73,GB
230,Castro,-24.7911,-50.0119,overcast clouds,47.73,84,98,2.66,BR
